date,conditional_volatility,market_volatility_index
2021-02-28,3.2307886622180857,78.62416168624925
2021-03-31,3.195041570360099,77.39562462680603
2021-04-30,3.159723327311069,76.18182601536843
2021-05-31,3.12482916020222,74.98260182051835
2021-06-30,3.0903543524342245,73.79778994467618
2021-07-31,3.056294242944998,72.62723019893676
2021-08-31,3.022644225571505,71.4707642811363
2021-09-30,2.989399748414125,70.32823575400715
2021-10-31,2.9565563132048585,69.19949002346485
2021-11-30,2.924109474637212,68.08437431557769
2021-12-31,2.8920548398353403,66.98273765832275
2022-01-31,2.8603880675532154,65.89443085406316
2022-02-28,2.8291048676812176,64.81930646259096
2022-03-31,2.7982010007114426,63.75721878275108
2022-04-30,2.7676722770076796,62.70802382735232
2022-05-31,2.737514556258563,61.671579304373545
2022-06-30,2.707723746888893,60.64774459673225
2022-07-31,2.6782958054870294,59.636380742605596
2022-08-31,2.649226736144033,58.63735041271829
2022-09-30,2.6205125900102972,57.650517895105224
2022-10-31,2.592149464641764,56.67574907264248
2022-11-30,2.5641335034562553,55.71291140436288
2022-12-31,2.5364608951994265,54.76187390710216
2023-01-31,2.509127873317598,53.82250713394474
2023-02-28,2.482130715514889,52.89468315900355
2023-03-31,2.4554657431447864,51.97827555650982
2023-04-30,2.4291293206932174,51.07315938304755
2023-05-31,2.403117855235492,50.179211158890034
2023-06-30,2.377427795920669,49.296308850278784
2023-07-31,2.352055633442182,48.42433185123034
2023-08-31,2.3269978995412135,47.563160966468466
2023-09-30,2.3022511664085026,46.71267839086576
2023-10-31,2.2778120462935867,45.87276769601436
2023-11-30,2.2536771909371,45.043313810715404
2023-12-31,2.2298432910702406,44.22420300377703
2024-01-31,2.2063070759514956,43.41532286809276
2024-02-29,2.1830653127682527,42.61656230007644
2024-03-31,2.1601148063107085,41.827811488455254
2024-04-30,2.137452398373444,41.04896189370342
2024-05-31,2.1150749673072267,40.27990623263872
2024-06-30,2.092979427543626,39.52053846208482
2024-07-31,2.0711627291199797,38.770753762545475
2024-08-31,2.049621857208964,38.030448522037084
2024-09-30,2.0283538316409615,37.2995203196737
2024-10-31,2.0073557064702414,36.5778679107577
2024-11-30,1.9866245695025022,35.865391210542704
2024-12-31,1.9661575418384778,35.16199127854835
2025-01-31,1.9459517774322783,34.4675703033817
2025-02-28,1.9260044626005748,33.782031585869106
2025-03-31,1.9063128156508986,33.10527952628179
2025-04-30,1.8868740863921207,32.437219607512304
2025-05-31,1.8676855557090315,31.777758380453864
2025-06-30,1.8487445351366933,31.126803449371966
2025-07-31,1.8300483663959026,30.484263455939367
2025-08-31,1.811594420998688,29.85004806567806
2025-09-30,1.7933800998340863,29.224067953723445
2025-10-31,1.7754028327059816,28.606234788941048
2025-11-30,1.7576600779528015,27.9964612208564
2025-12-31,1.7401493220101747,27.394660864624726
Move historical_market_volatility to artifacts folder
